N,SortedVector Add,LinkedList Add,BST Add,SortedVector Search,LinkedList Search,BST Search,SortedVector Save,SortedList Save, BST Save,SortedVector Remove,SortedList Remove,BST Remove,Vector Add Front,LinkedList Add Front,Vector Add Back,LinkedList Add Back,Vector Remove Front,LinkedList Remove Front,Vector Remove Back,LinkedList Remove Back,Vector Get,LinkedList Get
500.000000,0.001856,0.001384,0.000279,0.000271,0.001259,0.000326,0.000153,0.000073,0.000076,0.000288,0.000672,0.000440,0.000474,0.000032,0.000007,0.000024,0.000345,0.000029,0.000007,0.000870,0.000006,0.000207
1000.000000,0.005112,0.003936,0.000507,0.000661,0.003833,0.000628,0.000242,0.000198,0.000197,0.000885,0.002425,0.000603,0.000936,0.000032,0.000012,0.000027,0.001117,0.000041,0.000007,0.001543,0.000018,0.000614
1500.000000,0.006841,0.005403,0.000566,0.000598,0.005756,0.000656,0.000173,0.000158,0.000178,0.001194,0.003924,0.000709,0.001419,0.000032,0.000011,0.000040,0.001538,0.000041,0.000009,0.002447,0.000005,0.000858
2000.000000,0.008379,0.006628,0.000597,0.000658,0.007793,0.000729,0.000194,0.000194,0.000191,0.001540,0.006136,0.000822,0.002077,0.000051,0.000015,0.000039,0.002458,0.000054,0.000010,0.003889,0.000007,0.001320
2500.000000,0.012462,0.009969,0.000754,0.000801,0.012120,0.000916,0.000264,0.000231,0.000284,0.002247,0.009131,0.001055,0.003347,0.000052,0.000028,0.000051,0.003527,0.000097,0.000011,0.005793,0.000009,0.002164
3000.000000,0.016755,0.013912,0.000887,0.000960,0.020033,0.001186,0.000257,0.000260,0.000293,0.003011,0.016392,0.001291,0.004756,0.000083,0.000021,0.000067,0.005247,0.000085,0.000017,0.008490,0.000012,0.003291
3500.000000,0.024930,0.020585,0.001207,0.001192,0.028086,0.001364,0.000307,0.000312,0.000341,0.004096,0.023580,0.001544,0.006485,0.000081,0.000037,0.000087,0.007139,0.000096,0.000021,0.010998,0.000015,0.004341
4000.000000,0.030588,0.025103,0.001312,0.001352,0.038333,0.001682,0.000345,0.000351,0.000399,0.005584,0.031842,0.001808,0.008611,0.000093,0.000030,0.000119,0.009278,0.000107,0.000023,0.015963,0.000019,0.005883
4500.000000,0.040017,0.033235,0.001464,0.001531,0.052198,0.001962,0.000389,0.000394,0.000413,0.006419,0.045286,0.002088,0.010720,0.000102,0.000033,0.000109,0.011733,0.000118,0.000027,0.018507,0.000022,0.007395
5000.000000,0.048182,0.040508,0.001627,0.001754,0.054786,0.002100,0.000429,0.000428,0.000458,0.008062,0.049355,0.002415,0.014779,0.000105,0.000037,0.000121,0.017138,0.000126,0.000029,0.025602,0.000025,0.009726
5500.000000,0.058726,0.049739,0.001777,0.001955,0.072995,0.002350,0.000447,0.000455,0.000481,0.009264,0.063780,0.002652,0.015857,0.000121,0.000043,0.000138,0.017533,0.000143,0.000032,0.044474,0.000028,0.011564
6000.000000,0.068925,0.059362,0.001967,0.002153,0.082038,0.002588,0.000481,0.000490,0.000527,0.011123,0.066922,0.002936,0.019216,0.000124,0.000046,0.000142,0.020512,0.000153,0.000036,0.055421,0.000029,0.013931
6500.000000,0.080332,0.069230,0.002158,0.002316,0.094635,0.002868,0.000513,0.000526,0.000576,0.012598,0.075548,0.003172,0.022119,0.000133,0.000051,0.000134,0.024374,0.000161,0.000038,0.037571,0.000030,0.016972
7000.000000,0.092562,0.079244,0.002356,0.002582,0.103351,0.003074,0.000560,0.000559,0.000598,0.014719,0.087927,0.003438,0.025805,0.000149,0.000058,0.000142,0.027849,0.000173,0.000041,0.043712,0.000031,0.019840
7500.000000,0.106938,0.092154,0.002535,0.002748,0.120393,0.003330,0.000584,0.000594,0.000653,0.016884,0.100712,0.003699,0.029301,0.000163,0.000055,0.000175,0.032093,0.000189,0.000044,0.126164,0.000032,0.023525
8000.000000,0.119763,0.101388,0.002700,0.003011,0.125943,0.003529,0.000618,0.000638,0.000824,0.018814,0.108893,0.003980,0.033478,0.000195,0.000057,0.000160,0.036252,0.000227,0.000053,0.057365,0.000032,0.063769
8500.000000,0.137246,0.117064,0.002897,0.003185,0.131623,0.003841,0.000665,0.000763,0.000814,0.021178,0.118225,0.004438,0.037569,0.000205,0.000071,0.000172,0.040893,0.000230,0.000052,0.075600,0.000032,0.069483
9000.000000,0.152151,0.129836,0.003186,0.003522,0.151578,0.004158,0.000697,0.000908,0.000831,0.023594,0.137868,0.004536,0.052947,0.000225,0.000070,0.000181,0.045922,0.000252,0.000054,0.079626,0.000033,0.064558
9500.000000,0.171804,0.147015,0.003415,0.003852,0.166221,0.004358,0.000876,0.000807,0.000809,0.026134,0.156220,0.004851,0.046467,0.000191,0.000064,0.000206,0.051184,0.000230,0.000056,0.095614,0.000032,0.042815
9999.000000,0.188175,0.162400,0.003548,0.004005,0.184598,0.004608,0.000764,0.000952,0.001034,0.028964,0.172225,0.005138,0.051707,0.000210,0.000077,0.000212,0.057294,0.000246,0.000060,0.192818,0.000033,0.047795
